"16810240","16810495","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"16810496","16810751","TH","Thailand","Phetchaburi","Phetchaburi","13.111890","99.944670","76150","+07:00"
"16810752","16811007","TH","Thailand","Songkhla","Songkhla","7.198820","100.595100","90190","+07:00"
"16811008","16811263","TH","Thailand","Suphan Buri","Don Chedi","14.634970","100.020970","72170","+07:00"
"16811264","16811519","TH","Thailand","Lop Buri","Phatthana Nikhom","14.856460","100.984590","15130","+07:00"
"16811520","16811775","TH","Thailand","Ratchaburi","Ratchaburi","13.536710","99.817120","70000","+07:00"
"16811776","16812031","TH","Thailand","Chiang Rai","Wiang Chai","19.883610","99.933140","57290","+07:00"
"16812032","16812287","TH","Thailand","Samut Sakhon","Samut Sakhon","13.547530","100.273620","74000","+07:00"
"16812288","16812543","TH","Thailand","Trang","Ratsada","7.974670","99.633530","92160","+07:00"
"16812544","16812799","TH","Thailand","Nakhon Sawan","Takhli","15.263360","100.343780","60140","+07:00"
"16812800","16813311","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"16813312","16813567","TH","Thailand","Chon Buri","Pattaya","12.933006","100.884083","76130","+07:00"
"16813568","16813823","TH","Thailand","Phetchaburi","Phetchaburi","13.111890","99.944670","76150","+07:00"
"16813824","16814079","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.749976","100.516819","10200","+07:00"
"16814080","16814335","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"16814336","16814591","TH","Thailand","Phatthalung","Phatthalung","7.617860","100.077920","93170","+07:00"
"16814592","16814847","TH","Thailand","Chumphon","Chumphon","10.500000","99.166670","86140","+07:00"
"16814848","16815103","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"16815104","16815359","TH","Thailand","Nakhon Si Thammarat","Thung Song","8.164530","99.680390","80110","+07:00"
"16815360","16815615","TH","Thailand","Surat Thani","Koh Tao","10.098080","99.838090","84280","+07:00"
"16815616","16815871","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
"16815872","16816127","TH","Thailand","Phatthalung","Srinagarindra","7.569910","99.943530","93180","+07:00"
"16816128","16816383","TH","Thailand","Nakhon Si Thammarat","Phrom Khiri","8.523330","99.822750","80260","+07:00"
"16816384","16816895","TH","Thailand","Phatthalung","Phatthalung","7.617860","100.077920","93170","+07:00"
"16816896","16817151","TH","Thailand","Surat Thani","Ko Pha Ngan","9.719450","99.995110","84280","+07:00"
"16817152","16817663","TH","Thailand","Phatthalung","Srinagarindra","7.569910","99.943530","93180","+07:00"
"16817664","16817919","TH","Thailand","Trang","Palian","7.172280","99.686330","92120","+07:00"
"16817920","16818175","TH","Thailand","Surat Thani","Ko Samui","9.535670","99.935670","84140","+07:00"
